// JOGOS
// Version 1.01
// File Date:2021/04/06 09:37:12
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0237
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=6240

StartTime=2021/02/27 07:55:14
EndTime=2021/02/27 08:05:37

DepAdjRho=1.0250

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=132001A

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2013/07/08

Ch1=-7.85300379e-01,2.394208470e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.63364400e00,1.067494000e-03,-1.24584300e-08,2.836957000e-13,-3.37097900e-18,2.420048000e-23,0.000000000e00,0.000000000e00,
Ch4=1.394719000e-03,3.828444000e01,-2.63250700e-02,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.938645000000,7.551445000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch7=-9.054095000000,1.394010000e-02,4.966240000e-08,2.081400000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch8=-4.43118500e01,2.409749000e06,-6.22440000e03,1.040000000e-02,4.500000000e-03,0.000000000e00,0.000000000e00,1.0000000000000,
Ch9=-5.46463000e00,1.026533000e-03,-8.39820400e-09,1.096716000e-13,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2021/02/27 07:55:14,-1.197,24.980,0.015,0.013,13.352,997.058,-2.937,0.42,0.42,2.31,94.83,7.971,249.117,8.40,
2021/02/27 07:55:14,-1.245,24.978,0.015,0.013,13.352,997.058,-2.936,0.45,0.45,2.13,94.81,7.968,249.008,8.41,
2021/02/27 07:55:14,-1.221,24.979,0.015,0.013,13.120,997.058,-2.937,0.45,0.45,1.92,94.69,7.958,248.714,8.43,
2021/02/27 07:55:14,-1.245,24.981,0.015,0.013,13.408,997.057,-2.937,0.41,0.41,1.91,94.63,7.956,248.651,8.42,
2021/02/27 07:55:14,-1.221,24.981,0.015,0.013,13.346,997.057,-2.937,0.44,0.44,1.96,94.66,7.963,248.855,8.42,
2021/02/27 07:55:14,-1.221,24.984,0.015,0.013,13.117,997.057,-2.938,0.30,0.30,1.91,94.75,7.972,249.132,8.41,
2021/02/27 07:55:14,-1.245,24.982,0.015,0.013,13.161,997.057,-2.937,0.29,0.29,1.51,94.71,7.972,249.153,8.41,
2021/02/27 07:55:14,-1.245,24.975,0.015,0.013,13.247,997.059,-2.936,0.30,0.30,1.12,94.62,7.967,248.975,8.40,
2021/02/27 07:55:14,-1.245,24.972,0.015,0.013,13.230,997.059,-2.935,0.12,0.12,1.37,94.56,7.963,248.851,8.40,
2021/02/27 07:55:14,-1.221,24.966,0.015,0.013,13.215,997.061,-2.933,0.05,0.05,1.11,94.59,7.967,248.982,8.40,
2021/02/27 07:55:15,-1.221,24.962,0.015,0.013,13.443,997.062,-2.932,0.14,0.14,1.71,94.69,7.973,249.157,8.38,
2021/02/27 07:55:15,-1.245,24.964,0.015,0.013,13.194,997.062,-2.933,0.14,0.14,2.63,94.74,7.972,249.133,8.39,
2021/02/27 07:55:15,-1.245,24.964,0.015,0.013,13.088,997.062,-2.933,0.25,0.25,3.78,94.74,7.968,249.028,8.39,
2021/02/27 07:55:15,-1.245,24.966,0.015,0.013,13.461,997.061,-2.933,0.35,0.35,3.36,94.79,7.970,249.086,8.38,
2021/02/27 07:55:15,-1.245,24.975,0.015,0.013,13.266,997.059,-2.936,0.31,0.31,1.98,94.76,7.967,248.993,8.38,
2021/02/27 07:55:15,-1.245,24.985,0.015,0.013,13.156,997.056,-2.938,0.17,0.17,1.57,94.72,7.962,248.822,8.38,
2021/02/27 07:55:15,-1.245,24.990,0.015,0.013,13.423,997.055,-2.939,0.08,0.08,1.46,94.76,7.963,248.866,8.38,
2021/02/27 07:55:15,-1.245,24.990,0.015,0.013,13.277,997.055,-2.939,0.12,0.12,2.37,94.66,7.954,248.585,8.37,
2021/02/27 07:55:15,-1.245,24.989,0.015,0.013,13.487,997.055,-2.939,0.26,0.26,3.13,94.64,7.952,248.521,8.37,
2021/02/27 07:55:15,-1.245,24.984,0.015,0.013,13.178,997.056,-2.938,0.74,0.74,3.08,94.65,7.953,248.558,8.36,
2021/02/27 07:55:16,-1.221,24.979,0.015,0.013,13.202,997.058,-2.937,0.81,0.81,3.17,94.60,7.951,248.492,8.38,
2021/02/27 07:55:16,-1.221,24.971,0.015,0.013,13.101,997.060,-2.935,0.79,0.79,4.09,94.58,7.951,248.488,8.38,
2021/02/27 07:55:16,-1.245,24.963,0.015,0.013,13.147,997.062,-2.933,0.67,0.67,6.54,94.56,7.951,248.492,8.38,
2021/02/27 07:55:16,-1.245,24.959,0.015,0.013,13.441,997.063,-2.931,0.50,0.50,7.61,94.51,7.947,248.366,8.36,
2021/02/27 07:55:16,-1.245,24.949,0.015,0.013,13.322,997.065,-2.929,0.42,0.42,5.20,94.46,7.945,248.287,8.38,
2021/02/27 07:55:16,-1.245,24.935,0.015,0.013,13.174,997.069,-2.925,0.64,0.64,3.03,94.50,7.952,248.518,8.37,
2021/02/27 07:55:16,-1.245,24.920,0.015,0.013,13.162,997.073,-2.922,0.57,0.57,2.56,94.45,7.951,248.477,8.38,
